Rank,Root Domain,Linking Root Domains,Domain Authority
1,www.google.com,12234678,100
2,youtube.com,17964925,100
3,apple.com,4564064,100
4,cloudflare.com,5239245,99
5,www.blogger.com,25542666,99
6,support.google.com,4646975,99
7,play.google.com,2385000,99
8,microsoft.com,4611390,99
9,en.wikipedia.org,5442325,98
10,wordpress.org,10047082,98
11,adobe.com,2823435,98
12,docs.google.com,2279768,98
13,maps.google.com,4376320,98
14,mozilla.org,1931820,98
15,linkedin.com,9039555,98
16,accounts.google.com,2532675,97
17,drive.google.com,1799207,97
18,vimeo.com,3091340,97
19,sites.google.com,1714887,97
20,googleusercontent.com,2166908,97
21,plus.google.com,11753192,97
22,europa.eu,1675132,97
23,youtu.be,3899017,97
24,es.wikipedia.org,775819,96
25,amazon.com,4008135,96
26,bbc.co.uk,1409287,96
27,line.me,623664,96
28,facebook.com,45942082,96
29,bp.blogspot.com,16046099,96
30,vk.com,1601522,96
31,uol.com.br,562510,96
32,istockphoto.com,3113203,96
33,github.com,2025652,96
34,cnn.com,1217818,96
35,forbes.com,1141924,95
36,creativecommons.org,1558713,95
37,w3.org,1052149,95
38,fr.wikipedia.org,535778,95
39,policies.google.com,1128053,95
40,mail.ru,474136,95
41,jimdofree.com,1666185,95
42,t.me,559640,95
43,google.co.jp,625072,95
44,bbc.com,665106,95
45,google.co.uk,536091,95
46,who.int,2047703,95
47,paypal.com,902368,95
48,news.yahoo.com,583228,95
49,news.google.com,690104,95
50,globo.com,381265,95
51,developers.google.com,899092,95
52,hugedomains.com,4960899,95
53,dropbox.com,930442,95
54,theguardian.com,1195962,95
55,live.com,733302,95
56,slideshare.net,876221,95
57,nih.gov,1052041,95
58,medium.com,1138701,95
59,google.de,1077250,95
60,msn.com,982961,95
61,washingtonpost.com,867592,95
62,get.google.com,745063,95
63,opera.com,749005,95
64,wikimedia.org,1369209,95
65,feedburner.com,1697502,95
66,google.com.br,262056,95
67,www.yahoo.com,928442,95
68,reuters.com,724734,95
69,gstatic.com,583988,95
70,myspace.com,1246380,95
71,imdb.com,1224434,95
72,whatsapp.com,1935664,95
73,dailymotion.com,1063340,95
74,google.es,412780,95
75,nytimes.com,1681318,95
76,pt.wikipedia.org,356784,95
77,mail.google.com,438458,95
78,bloomberg.com,678487,94
79,wsj.com,798058,94
80,youronlinechoices.com,507179,94
81,ebay.com,867237,94
82,ok.ru,329541,94
83,telegram.me,274176,94
84,fb.com,360352,94
85,de.wikipedia.org,588632,94
86,amazon.de,490372,94
87,photos.google.com,229324,94
88,goo.gl,4179351,94
89,sedo.com,2574186,94
90,aliexpress.com,440132,94
91,picasaweb.google.com,608832,94
92,booking.com,352810,94
93,tinyurl.com,1243735,94
94,google.fr,379461,94
95,huffingtonpost.com,870192,94
96,android.com,262236,94
97,twitter.com,48556820,94
98,office.com,352389,94
99,namecheap.com,956533,94
100,harvard.edu,586476,94
101,google.ru,173178,94
102,aol.com,655007,94
103,mediafire.com,763148,94
104,files.wordpress.com,1985501,94
105,foxnews.com,451694,94
106,myaccount.google.com,267005,94
107,independent.co.uk,516511,94
108,amazon.co.uk,626930,94
109,wired.com,532583,94
110,www.gov.uk,485604,94
111,businessinsider.com,574617,94
112,issuu.com,844804,94
113,cpanel.com,1231976,94
114,bing.com,894613,94
115,ft.com,350514,94
116,it.wikipedia.org,281672,94
117,ig.com.br,131146,94
118,dailymail.co.uk,774165,94
119,buydomains.com,1130383,94
120,tools.google.com,1480754,94
121,books.google.com,343665,94
122,webmd.com,548020,94
123,telegraph.co.uk,769191,94
124,elpais.com,323587,94
125,google.it,404900,94
126,fandom.com,430140,94
127,rakuten.co.jp,583530,94
128,lefigaro.fr,187035,94
129,wikia.com,456889,94
130,abril.com.br,223901,94
131,un.org,422755,94
132,abcnews.go.com,470734,94
133,archive.org,881860,94
134,themeforest.net,505692,94
135,cdc.gov,658144,94
136,translate.google.com,272673,94
137,usatoday.com,636803,94
138,bit.ly,4084797,94
139,steampowered.com,216742,94
140,latimes.com,574610,94
141,scribd.com,650702,94
142,id.wikipedia.org,410679,94
143,gravatar.com,1706050,94
144,amazon.co.jp,773273,94
145,thesun.co.uk,253457,94
146,cpanel.net,1317899,94
147,cnet.com,545982,94
148,nasa.gov,548829,94
149,marketingplatform.google.com,758426,94
150,aboutads.info,484187,94
151,dan.com,1609216,94
152,networkadvertising.org,693105,94
153,pinterest.com,7334128,94
154,time.com,610942,94
155,terra.com.br,185668,94
156,search.google.com,1033786,94
157,hatena.ne.jp,1453673,94
158,www.wix.com,904614,94
159,samsung.com,302497,94
160,change.org,402236,94
161,plesk.com,703939,94
162,draft.blogger.com,9856217,94
163,theatlantic.com,423494,93
164,umich.edu,290685,93
165,secureserver.net,959558,93
166,gnu.org,557180,93
167,ria.ru,153891,93
168,hp.com,386812,93
169,guardian.co.uk,518139,93
170,ietf.org,342139,93
171,amazon.es,146829,93
172,afternic.com,1469715,93
173,scoop.it,335688,93
174,oup.com,312251,93
175,nginx.org,558949,93
176,yandex.ru,917677,93
177,stackoverflow.com,284928,93
178,cbsnews.com,425525,93
179,dw.com,220150,93
180,wp.com,915340,93
181,depositfiles.com,138999,93
182,m.wikipedia.org,227779,93
183,addthis.com,693926,93
184,bandcamp.com,509508,93
185,walmart.com,267433,93
186,ign.com,231293,93
187,abc.net.au,322708,93
188,akamaihd.net,411487,93
189,hm.com,153709,93
190,mashable.com,343586,93
191,enable-javascript.com,1249819,93
192,mirror.co.uk,255851,93
193,pexels.com,144722,93
194,hollywoodreporter.com,213978,93
195,lemonde.fr,223271,93
196,biglobe.ne.jp,222705,93
197,asus.com,138252,93
198,yelp.com,818330,93
199,search.yahoo.com,422825,93
200,trustpilot.com,330317,93
201,addtoany.com,714498,93
202,pixabay.com,297446,93
203,imageshack.us,780813,93
204,shop-pro.jp,144961,93
205,spiegel.de,263102,93
206,whitehouse.gov,312939,93
207,amazon.fr,218558,93
208,forms.gle,355796,93
209,code.google.com,317669,93
210,www.weebly.com,339155,93
211,ibm.com,436900,93
212,doubleclick.net,645099,93
213,nationalgeographic.com,529773,93
214,chicagotribune.com,296432,93
215,nicovideo.jp,137825,93
216,news.com.au,256604,93
217,techcrunch.com,389683,93
218,disqus.com,915599,93
219,naver.jp,128776,93
220,newsweek.com,244442,93
221,ovh.net,686186,93
222,loc.gov,367733,93
223,economist.com,302541,93
224,php.net,623662,93
225,washington.edu,306521,93
226,buzzfeed.com,444747,93
227,www.livejournal.com,3023914,93
228,netvibes.com,1154657,93
229,adssettings.google.com,294860,93
230,storage.googleapis.com,505983,93
231,netflix.com,244335,93
232,google.ca,292134,93
233,bloglovin.com,445042,93
234,britannica.com,269268,93
235,imageshack.com,434403,93
236,picasa.google.com,247511,93
237,instructables.com,273633,93
238,detik.com,350609,93
239,target.com,225847,93
240,yahoo.co.jp,617858,93
241,usnews.com,322753,93
242,mega.nz,151649,93
243,urbandictionary.com,204972,93
244,ggpht.com,572283,93
245,alibaba.com,364339,93
246,nokia.com,157342,93
247,groups.google.com,298675,93
248,000webhost.com,268946,93
249,arxiv.org,178596,93
250,ovh.com,423978,93
251,deezer.com,126437,93
252,smh.com.au,260985,93
253,sfgate.com,316237,93
254,rapidshare.com,279749,93
255,quora.com,305780,93
256,gizmodo.com,338385,93
257,www.wikipedia.org,517391,93
258,pl.wikipedia.org,128105,93
259,4shared.com,506440,93
260,skype.com,367478,93
